Building,Room,Printer name,Campus,lat,lng
Luddy Hall,2143,BL_UPRN_IF2143_MFP1,Bloomington,39.1727252,-86.5232945
Luddy Hall,2143,BL_UPRN_IF2143_MFP2,Bloomington,39.1727252,-86.5232945
Luddy Hall,2150,BL_UPRN_IF2150_MFP2,Bloomington,39.1727252,-86.5232945
Luddy Hall,2999A,BL_UPRN_IF2999A_MFP1,Bloomington,39.1727252,-86.5232945
Luddy Hall,3033,BL_UPRN_IF3033_MFP1,Bloomington,39.1727252,-86.5232945
Luddy Hall,3051,BL_UPRN_IF3051_MFP1,Bloomington,39.1727252,-86.5232945
Luddy Hall,3118,BL_UPRN_IF3118_MFP1,Bloomington,39.1727252,-86.5232945
Luddy Hall,3140,BL_UPRN_IF3140_MFP2,Bloomington,39.1727252,-86.5232945
Luddy Hall,3150,BL_UPRN_IF3150_MFP1,Bloomington,39.1727252,-86.5232945
Luddy Hall,3999A,BL_UPRN_IF3999A_MFP1,Bloomington,39.1727252,-86.5232945
Luddy Hall,4025,BL_UPRN_IF4025_MFP1,Bloomington,39.1727252,-86.5232945
Luddy Hall,4040,BL_UPRN_IF4040_MFP2,Bloomington,39.1727252,-86.5232945
Luddy Hall,4053,BL_UPRN_IF4053_MFP1,Bloomington,39.1727252,-86.5232945
Luddy Hall,4143,BL_UPRN_IF4143_MFP1,Bloomington,39.1727252,-86.5232945
Luddy Hall,4150,BL_UPRN_IF4150_MFP2,Bloomington,39.1727252,-86.5232945
Magee Hall,D001,BL_STC_RUD001_MFP1,Bloomington,39.1758521,-86.5172297
McNutt Central,C006,BL_UPRN_MNC006_MFP1,Bloomington,39.176422,-86.5197585
McNutt Central,26,BL_UPRN_MNC026_MFP1,Bloomington,39.176422,-86.5197585
McNutt Central,199,BL_UPRN_MNC199_MFP1,Bloomington,39.176422,-86.5197585
McNutt Central,299,BL_UPRN_MNC299_MFP1,Bloomington,39.176422,-86.5197585
Medical Research & Library,100,IN_LIBM_STC_IB100_MFP1,Bloomington,39.1682449,-86.52300729999999
Medical Research & Library,1005B,IN_UPRN_HA1005B_MFP1,Bloomington,39.1682449,-86.52300729999999
Medical Research & Library,207,IN_LIBM_STC_IB207_MFP1,Bloomington,39.1682449,-86.52300729999999
Medical Research & Library,303,IN_LIBM_STC_IB303_MFP1,Bloomington,39.1682449,-86.52300729999999
Medical Research & Library,2003,IN_UPRN_HA2003_MFP1,Bloomington,39.1682449,-86.52300729999999
Medical Research & Library,2008,IN_UPRN_HA2008_MFP1,Bloomington,39.1682449,-86.52300729999999
Medical Research & Library,2027D,IN_UPRN_HA2027D_MFP1,Bloomington,39.1682449,-86.52300729999999
Medical Research & Library,3030L,IN_UPRN_HA3030L_MFP1,Bloomington,39.1682449,-86.52300729999999
Medical Research & Library,3008,IN_UPRN_HA3008_MFP1,Bloomington,39.1682449,-86.52300729999999
Medical Research & Library,5036,IN_UPRN_HA5036_MFP1,Bloomington,39.1682449,-86.52300729999999
Medical Research & Library,6060,IN_UPRN_HA6060_MFP1,Bloomington,39.1682449,-86.52300729999999
Medical Research & Library,7062,IN_UPRN_HA7062_MFP1,Bloomington,39.1682449,-86.52300729999999
Memorial Hall,25,BL_STC_MMA025_MFP1,Bloomington,39.1647963,-86.51969489999999
Merrill Hall,99,BL_STC_MU099_MFP1,Bloomington,39.164636,-86.5183342
MESH Storage,3,BL_UPRN_BL608D-03_MFP1,Bloomington,39.1682449,-86.52300729999999
MESH Storage,03A,BL_UPRN_BL608D-03A_MFP1,Bloomington,39.1682449,-86.52300729999999
Multi Science 2,279,BL_UPRN_S2279_MFP1,Bloomington,39.1682449,-86.52300729999999
Multidisciplinary Eng And Sci Hall-MESH,050C,BL_UPRN_CY050C_MFP1,Bloomington,39.1657702,-86.5177303
Multidisciplinary Eng And Sci Hall-MESH,199F,BL_UPRN_CY199F_MFP1,Bloomington,39.1657702,-86.5177303
Myers Hall,199F,BL_UPRN_MY199F_MFP1,Bloomington,39.1647282,-86.5222946
Myers Hall,309,BL_UPRN_MY309_MFP1,Bloomington,39.1647282,-86.5222946
Myles Brand Hall,100,BL_UPRN_I100_MFP1,Bloomington,39.1720489,-86.5228769
Myles Brand Hall,219,BL_UPRN_I219_MFP1,Bloomington,39.1720489,-86.5228769
Myles Brand Hall,307,BL_UPRN_I307_MFP1,Bloomington,39.1720489,-86.5228769
Myles Brand Hall,399,BL_UPRN_I399_MFP1,Bloomington,39.1720489,-86.5228769
Northwest Plaza,103,BL_UPRN_NP103_MFP1,Bloomington,39.910911,-86.2274594
Owen Hall,2,BL_UPRN_OW002_MFP1,Bloomington,39.1669716,-86.52381299999999
Owen Hall,112,BL_UPRN_OW112_MFP1,Bloomington,39.1669716,-86.52381299999999
Owen Hall,201,BL_UPRN_OW201_MFP1,Bloomington,39.1669716,-86.52381299999999
Owen Hall,305F,BL_UPRN_OW305F_MFP1,Bloomington,39.1669716,-86.52381299999999
Radio-TV,299,BL_STC_TV299_MFP1,Bloomington,39.1692011,-86.51854159999999
Radio-TV,316,BL_UPRN_TV316_MFP1,Bloomington,39.1692011,-86.51854159999999
Raintree Hall,121,BL_UPRN_RH121_MFP1,Bloomington,39.1652565,-86.52042709999999
Read Hall,15,BL_STC_RE015_MFP1,Bloomington,39.1660559,-86.51489219999999
Read Hall,199,BL_STC_RE199_MFP1,Bloomington,39.1660559,-86.51489219999999
